Article title	Section header	Previous context	Sentence	Follow-up context	Filler1	Rating1	Filler2	Rating2	Filler3	Rating3	Filler4	Rating4	Filler5	Rating5
How to Write a Book As a Kid	Steps	 1. Get inspired. You can write a book about your Uncle Bob or Aunt Edna. 	Many ______ use ideas they get from dreams they've had.	If you are a teenager and have a chance to go to the mall or some other public space; sit and watch people (watch how they interact with others or even their habits and mannerisms) this can be excellent material.	families	2.5	doctors	3	men	2.5	writers	5	researchers	2.5
How to Sew Stuffed Birds	Part Three: Sewing the other side and stuffing	 1. Pin the remaining side fabric with the other side of the top fabric and remember to fold seam allowance of the previous side fabric inside a little. 	Stuff the bird's ______.	Continue the above step to sew the fabric in same way.	top	3.5	bowl	1.5	skin	2	eggs	4	body	5
How to Determine Snowboard Size	Steps	 (...) 3. Know what you will be using it for- Remember a longer board goes faster but is harder to control, a shorter board is easier to control but doesn't go as fast. 4. Hold it up against your body while you stand. 	The snowboard should come between your chin and forehead depending on the above ______.		needs	4	constraints	3	patterns	2.5	result	4	criteria	5
How to Make a Summer Camp on Club Penguin	Tips and Warnings	 * Hire penguins to work at your camp. *	Ask preteens and teens to help keep an eye out for the younger ______.	* Put in a campfire area but be careful.	men	1.5	employees	2	humans	4	penguins	2.5	families	3.5
How to Make Popcorn on the Stove	Steps	 1. Put a 1/4 pound (one stick) of butter into a large (8 quart or larger) stainless cooking pot, or any large pot or bowl that has a lid or anything to cover it. 	Use more or less ______ as you prefer.	2. Get a rip-roaringfire going; high heat is best for this method.	boiling	3	butter	5	tools	1	spices	2	ingredients	3.5
How to Make Woven Wheat Cereal Treats	Using giant wheat squares	 1. Get 4 giant wheat squares, break off the ends and hollow with finger or small spoon. (...) 3. Get a spoon of powdered sugar and gently shake onto squares. 	Put 3 blueberries on each ______.	(You can use another method if wanted)	box	3	part	2.5	square	5	handle	2	pile	2.5
How to Make Cheesy Dog Biscuits	Sources and Citations.	 	These ______ are pooch approved.	There is nothing better than making homemade treats for dogs from wholesome and nutritious ingredients.	leaves	3	biscuits	5	people	1	chickens	1	cattle	1
How to Prepare a Pasture for Horses	Steps	 1. Check the pasture. (...) 6. Deal with fencing. (...) 7.	Examine the pasture's ______.	Now that it is clean, you can now see the general idea to the pasture.	horses	3.5	wildlife	2	fences	5	resources	3	boundaries	4
How to Avoid Algae Bloom Toxin	Intro	 	Most of the time, the ______ of algae in bodies of water is nothing to worry about, and is in fact an important part of the ecosystem.	A small percentage of algae, however, can create a toxic brew that can cause illness or even death to small animals, pets, and (less commonly) humans.	degradation	3.5	activity	3	conservation	4.5	abundance	4.5	presence	5
How to Shift Gears on a Bike	Shifting Basics	 (...) 5. Practice shifting up and down in a flat area. (...) 6. Only shift while you're pedaling forward. 	If you're used to a bike that needed you to pedal backwards to brake, this can take some ______ getting used to.	The chain can only catch on new gears if it is stretched tight, which requires you to pedal forward.	trouble	2.5	months	4	time	5	changes	1.5	difficulties	3.5
How to Find Joy Writing a Hero Into a Novel	Steps	 (...) 2. Think of who the hero is. (...) * What does the hero do during the day? 	What ______ of job does he/she have?	* What kind of villains do they fight?	school	2	description	4	size	1	kind	4.5	volume	1
How to Convert from Hinduism to Christianity	Making the Conversion	 (...) 6. Get baptized. (...) You may receive a Christian name as well. *	A baptism can be a private ______ between you and your priest or may take place in front of an audience, such as the entire congregation.	7. Participate in all conversion celebrations.	relationship	4	gathering	4.5	event	3	discussion	2.5	consultation	4.5
How to Soothe Psoriasis Itching	Using Home Remedies	 (...) 6. Use over-the-counter treatments. (...) Be aware that these products may cause dryness. 	Products containing the following ingredients can help relieve an ______ of psoriasis-related itching:	* Hydrocortisone.	outbreak	4.5	illness	3	abundance	3.5	ounce	1	awareness	2
How to Pamper Yourself on a Budget	Treating Yourself to a Home Spa Day	 (...) 3. Soak in a warm bath. (...) For a complete spa effect, apply a face and hair mask before you soak so that you can rinse everything off in the shower. *	Another affordable method is to add a can of coconut milk, a tablespoon of almond oil, and 20 ______ of lavender oil to your bath water afterwards.	* Make your own bubble bath with liquid or castile soap, pure vegetable glycerin, and a scent.	tons	1	ml	5	pots	2.5	points	2.5	drops	3.5
How to Ditch School and Take a Mental Break	Steps	 (...) 6. Get out of school 1. Ask your friends of people you know for the best cutting route to become unnoticed. 	Make sure to do this a ______ of days before you cut school, or they may want to tag along.	2. Stay undercover, try not to be noticed of seen by many people in the hallways, hiding in the stalls always works.	night	1.5	rule	2.5	couple	5	minority	2.5	section	3.5
How to ""Make a Homemade ""Piggy"" Bank	Steps	 1. Find a box that is at largest 9 in. by 9 in. or a sterile and empty container with a lid (Ziploc containers work excellently if you don't want to decorate them). 	It is not recommended that you use the large ______ that your brand new plasma screen TV came in.	2. Cut a slit in the very middle of the box/container lid.	crate	1	container	4.5	box	5	crates	2	format	1
How to Identify a Turkish Angora	Identifying Physical Characteristics	 (...) 3. Check for delicate features. (...) Some consider the cat dainty because of their small, fine bones and narrow chest. 	Notice the ______ of the physical features.	Turkish Angoras have wedge-shaped heads that taper near the chin.	variations	4.5	purity	4	importance	3.5	difference	4	shape	3.5
How to Donate Used Books to Charity	Donating To Organizations Through Mail	 1. Choose an organization which receives donated books. (...) * Do some research online to find organizations. 	Some ______ will come to your home for pickup, while others will have you mail books.	Check the shipping policies to see whether postage is paid or if you will have to pay postage.	clubs	4	families	1	organizations	5	projects	1	patrons	3.5
How to Make an Oral Rehydration Salts Drink (ORS)	Understanding ORS Drinks	 1. Determine if you need to take ORS drinks. (...) If so, you'll notice: increased thirst, dry mouth, sleepiness, less frequent urination, dark yellow urine, headache, dry skin, and dizziness. 	If you experience any of these ______, call your doctor.	You'll probably be told to start taking ORS drinks if the symptoms aren't severe.	difficulties	4	substances	1	results	4	behaviors	1.5	symptoms	5
How to Make a Pokémon Trading Card Box Holding 60 Cards	Warnings	 *	You have to use this ______ of card; any other breaks very easily.		stretch	1.5	style	5	letter	1	kind	4.5	version	3.5
How to Start a Trend	Brainstorming the Trend	 1.	Think about the ______ of trend you want to start.	You’ll want it to have a couple of qualities: originality, simplicity and affordability.	stage	2.5	pattern	3.5	type	5	date	1.5	section	4
How to ""Write a Character Article (a ""Be Like"" Article) on wikiHow	Steps	 1. Get the title right. (...) Titles likely to be more acceptable are those that suggest copying as opposed to being and include such titles as: (...) *	Be inspired by FF's ______	2. NB TO FILL IN:	Style	4.5	story	4.5	fantasy	2.5	magazine	3	song	3
How to Create a Romantic Goth Look	Steps	 (...) 6. Try to create full lips. (...) 7. Blusher should be applied sparingly. 	Use just enough ______ to give yourself that ""freshly-dead"" glow.	Rosey pinks, not deep reds.	perfume	2	purple	4	fabric	1	blush	4.5	filter	2.5
How to Tell a Significant Other You Wear Diapers for Bedwetting	Related wikiHows.	 Although most people probably associate bedwetting with children and teenagers(as well as the elderly), there are people of all ages who experience this problem. (...) Many adults might be reluctant to get involved in a relationship because they are embarrassed about having to tell their boyfriend or girlfriend they have to wear diapers to bed. 	There is no reason to be ashamed about this and there are ways you can tell your significant ______ you have to sleep in diapers.	This article offers suggestions about how you can tell your significant other you have this problem.	adults	4.5	distance	2	sibling	1	other	5	children	2.5
How to Plan a Trip to Yosemite Valley	Steps	 (...) 8. Go to some other areas of Yosemite, since the valley is not the only place in Yosemite, although maybe the most popular. Other places also have very interesting things. 	These ______ include Wawona, the Mariposa Grove of giant sequoias, Glacier Point and Badger Pass, Hetch Hetchy, Crane Flat, and Tioga Road and Tuolumne Meadows.		cities	2.5	buildings	1	areas	3	places	4.5	mountains	3.5
How to Photograph the Female Nude	Planning Your Shoot	 1. Find a model willing to pose nude. (...) * Ask around at your local college campus. 	You’ll probably have the most ______ in the photography and traditional art departments.	* Don’t try to coerce conventional models into doing a nude shoot.	luck	4	experts	3	focus	4	men	1.5	background	2
How to Braid Your Own Hair	Method Two: Creating a French Braid	 (...) 5. Continue your braid on the right side. Pick up a small section of hair from the right side of your head. 	Add it to the ______ of hair that you are holding in your right hand.	Then cross this right section over the center section of hair.	zone	2.5	parcel	2.5	section	5	region	3	pile	3
How to Buy a Purebred Puppy	Steps	 (...) 3. Getting Ready to adopt � Where to Find a Dog. (...) To find a dog in a pound in your neighborhood, you can go online at Muttshack.org, type in your area code and look at the photos of dogs in the shelters in your neighborhood. 	You will be saving a life of a ______ of the breed you love.	There is no greater demonstration of love in having a ""rescued"" dog.	dog	5	pet	4.5	brother	1	user	1	driver	1
How to Play Civcraft	Intro	 Do you like Civilization games? Do you want a game to play on the go? 	Here's a Civilization game that can be played with just a pencil and ______ of paper.		pile	3	sections	2.5	blocks	1	chips	1.5	pieces	5
How to Be Organized in Middle School	Steps	 (...) 6. Set up a drawer or area in your room for extra school supplies. (...) If you have a ""School Supply Drawer"", you will always have a place to put extras, and know where those things are when you eventually need them. 7.	Only buy the ______ of supplies you need.	If you are in 8th grade, you probably won't need to buy lots of glue sticks and crayons, while a 5th grader won't need a graphing calculator.	bulk	3	pile	3	amount	5	types	5	group	3.5
How to Know when It's Time to Find New Friends	Steps	 1. Consider how you feel after being with your group of friends. (...) They may all continue to espouse the BFF virtues together but if there are cracks in the cohesion, you may be wondering if you really belong to this group. (...) *	Do you feel any sense that comments or actions are being directed toward you as a way of keeping you on the outer ______ of the group?	* Does being in the group leave you feeling moody or upset?	edge	5	perimeter	4	faces	3	fabric	2.5	end	2.5
How to Build a Freshwater Predator Fish Aquarium	Steps.	 (...) 2\. Aquatic Salamanders and Newts This includes Axolotls, Mudpuppies, Sirens, and Hellbenders (all very similar species). 	None of these ______ will ever attempt to harm your fish, although if they are small your fish may try to eat them or will pick on them.	Make sure that your aquatic salamander is large enough to be housed with your fish.	fish	3.5	animals	3.5	insects	1.5	people	1	crabs	1.5
How to Choose a Motorhome or Campervan to Rent	Tips	 * Renting a motorhome can be of great value, as it is cheaper in some ways. * Double beds count as 2 berths so take care in choosing. *	Even the smallest ______ has all the facilities and probably would have smaller water tanks and fridge, too.	Which means, you'd have to “service” your vehicle more often that with a larger version.	group	1.5	RV	5	bedroom	4	farm	1.5	garage	3.5
How to Make Syrup of Ipecac	Warnings	 * Ipecac syrup should never be used in humans, despite being recommended for poisoning until the final years of the 20th century for this. (...) * do not use in rodents, as they do not have the vomiting reflex. 	This ______ will cause further poisoning in rodents.	* Contact a veterinarian after use, especially if animal does not vomit within 30 minutes of dose.	poison	3	syrup	5	result	3	juice	2.5	application	3.5
How to Be a Hopeless Romantic	Steps	 1. Write love poems all the time. (...) 12. Always have a romance novel with you. 13.	Always express yourself in ______ of romance.	If someone is saying how there life is bad, say ""Love conquers all.	conversations	3.5	novels	3	style	4	stories	2.5	terms	4.5
How to Use Hydrogen Peroxide	Cleaning the Kitchen and Bathroom	 (...) 4. Disinfect kitchen countertops and bathroom fixtures. (...) It works great for countertops, sinks, bathtubs, appliances, or even toilet bowls. *	This ______ works especially well for the inside of your refrigerator or dishwasher, too.	* If you are cleaning your toilet bowl with hydrogen peroxide, spray it on or pour it in the bowl and let it sit for about 20-30 minutes before scrubbing it clean.	process	5	herb	1.5	spray	4	method	5	setup	4.5
How to Achieve Smooth Skin on a Budget	Using Natural Products	 1.	Use cold ______ to remove under-eye bags and dark circles.	Place fresh, cold cucumber slices over your eyes to reduce swelling, puffiness, and to lighten dark circles.	materials	4	bandages	3.5	items	4	cloth	1.5	liquids	4
How to Make Decals	How to Make Decals With Hand Drawings	 (...) 5. Spread out the contact paper on a flat surface. (...) Place the paper design on top of the contact paper. 	Trace the design onto the ______ of the contact paper with a felt tip marker.	Cut it out carefully with sharp scissors.	back	4	portion	4	interior	4.5	part	4.5	sides	1.5
How to Win at Online Poker	Winning at Online Poker	 (...) 3. Register for one of the free online poker sites. (...) Remain with the beginners until you learn the basics. 	When you feel comfortable move on to the more advanced ______.	4. Make notes as you learn, writing down the basic hands, the higher paying hands, and the starting hands.	players	5	areas	4	basics	2.5	sports	3	tournaments	5
How to Get a Girl in One School Week	What to do on Friday	 1. Hug some more. (...) 5. Enjoy your relationship! 6.	If you are rejected, remember, there are ______ of other fish in the sea.		plenty	3	millions	4.5	sorts	1.5	boxes	1	oceans	1
How to Clear a Building with a Firearm	T-Intersections.	 T-intersections are where two hallways intersect and there are two separate corners to clear, neither of which grants better cover than the other. (...) 4. Step back and to the left. 	Clear the right corner the same way you did the left ______.	6. Decide to enter, now that you have cleared as much as you can without crossing the line, you must break through the plane.	circle	2.5	center	2	elbow	1	corner	5	hallway	3.5
How to Make Cantaloupe Pie	Steps	 1. Take a fresh and good quality cantaloupe and cut in half. 8. Take a large bowl and beat egg yolks in it. 9.	Add water and a little ______ of the cantaloupe mixture to heat the yolks.	10. Add the egg yolks mixture into the heated pulp and stir it until the mixture gets thick and creamy.	wine	4.5	drop	4	residue	4.5	bit	5	sauce	1
How to Deliver a Pizza	Intro	 	Delivering pizzas might seem simple enough as far as jobs go, but like any other ______, there are a number of pointers to follow.	First, there are some basic things that you need to do in order to ensure customer satisfaction with a quick delivery.	delivery	4.5	process	4	mission	1.5	employment	4	job	5
How to Stop a Bruise from Hurting	Steps	 1. As soon as you see a bruise has taken full effect on your body, immediately apply ice to the bruise. If the bruise is relatively large and is on your leg or foot, lay down and elevate your bruise, adding ice to the bruise. 	If your bruise is very large, you may need to see a doctor about it, because it may be a life-threatening ______.	* Many doctors can help bruises that are life threatening.	fracture	4	activity	5	concern	4.5	crisis	5	bruise	5
How to Make Business Cards with GIMP	Creating the Card	 (...) 5. Review your card. (...) Check for any typos as well. 6.	Save a ______ of the card before starting the printing process.	You'll want to save the file as a GIMP project so that you can easily go back and edit the individual layers.	backup	3.5	majority	2.5	size	3	section	5	region	3
How to Organize Your Desk	Steps	 (...) 2. Prioritize! (...) Items such as pencils, pens, scissors, important documents, and even hand lotion. 	Place these ______ in a drawer that is within an easy reach (or, in the case of pens and pencils, in a cup).	3. Larger items	objects	5	ingredients	2	tools	4	papers	3.5	items	3.5
How to Soften Uncomfortable High Heels	Steps	 1. Find a pair of high-heels that are uncomfortable or stiff. (...) 4. Take them out and allow them to drip dry. 	Voilà! You now have a ______ of comfortable high-heels.		lot	1	home	1	pair	5	gift	2.5	shower	3
How to Get Rid of Pigeons	Steps	 1. Use any combination of the following steps to keep pigeons away. (...) * Try using sticky chemicals that will be very uncomfortable for birds to perch on, then they will stay away. 	Buy these ______ at places that sell pest control products.	* Eliminate pigeons with ultrasonic devices, if you find it difficult to get rid of them any other way.	leaflets	1.5	pigs	2	cables	1	towels	1.5	chemicals	5
How to Style African Hair	Steps	 (...) 5. Use a leave in conditioner and put it in hair. Make sure it goes on roots, ends, and everything in between. 6.	Part hair using the ______ of a rattail comb or your fingers, whichever you choose, into about 15-20 medium sections depending on the thickness and length of hair.	7. Take one of the parts and separate in into two parts.	size	1	end	4	movement	3	application	3	results	2
How to Dissect a Frog	Removing the Stomach and Digestive Tract	 (...) 2. Identify the small intestine. (...) It's how the frog gets its strength and energy from the food it eats. *	Follow the small ______ to the large intestine.	The large intestine, also known as the cloaca, should widen at the bottom of the small intestine.	intestine	4.5	organs	3.5	tube	4	bladder	2.5	veins	4
How to Get Healthy Scene Hair	Warnings	 * If you tease, straighten, bleach, and dye your hair a lot, IT WILL BE DAMAGED. 	This article is to help lessen the ______ of that damage.	You will not have perfect, shiny hair if you heat style and tease your hair everyday.	weight	3.5	results	5	sensitivity	2	consequences	5	chance	5
How to Unblock Infants' Ears on Flights	Tips	 *	Flight attendants usually hand out lollies or have them handy, so asking for assistance is always the best method - they are trained to handle these ______ of situations.		areas	3	sorts	4.5	thousands	3.5	kind	5	types	3.5
How to Make Time for Your Passions After Tiring Full Work Days	Steps	 (...) * Now count up. (...) You can get really detailed and use number scaling to cite 1-10 your level of happy you feel when you see your participation. 	Many ______ feel sad or frustrated when they note they are just not engaging in their preferred activities.	Activities we care about bring our spirit and mind energy.	teenagers	3	consumers	3	people	4	men	4	athletes	2.5
How to Stretch Properly for Dance	Steps	 (...) 5. Stretch Three. (...) Good for tap and jazz dance. (...) *	Repeat the previous ______ with your other leg.	* Shake your legs when finished to release tension.	stretches	5	orientation	3	action	2.5	section	3.5	jump	3
How to Make Goat Cheese	Cultivating Your Cheese	 (...) 4. Hang your cheesecloth for an hour. Take all the ends of the cheese cloth and tie them together. 	Then, tie the ends of the cheesecloth around the sink's ______.	Let it hang for an hour.	toilet	1	faucet	4.5	pole	1	base	1.5	bowl	1.5
How to Pick Yourself Up	Mentally Picking Yourself Up	 1. Meditate. Meditation has many scientific benefits. 	These ______ are both mental and physical.	Meditation helps you mentally by increasing your attention span, feeling more connected, and getting a better night sleep.	abilities	3.5	changes	3	achievements	2.5	benefits	5	properties	4
How to Make Good Grades in High School and College	Warnings.	 High school and college might seem hard, but it's not if you study. If you don't study then you won't make good grades. 	This ______ will help you make straight A's.		history	1	campus	2.5	graduation	1	article	4.5	homework	3
How to Experience Different Places in Spain	Steps	 (...) * Pick a time to travel abroad. (...) You don’t want to get there and stare at the hotel wall. 	Also, consider saving a little ______ each month so you’ll have some mad cash to spend.	* Side note: Learn some simple sentences and conversational points in Spanish!	payment	3	holiday	3	cash	5	profit	2.5	extra	4
How to Download Anonymously	Intro	 Downloading software has become a stressful task. In a world where anonymity means a great deal there are those who would throw privacy to the wind and watch your every manuever. 	However there are many things you can do to upload and download anonymously, this ______ will be explored below...	Note:	motivation	1	change	1	history	3	concept	5	subject	4
How to Cast Off	Steps	 (...) 2. Push the tip of the left needle into the first stitch that you made on the right needle. 3. Lift the first stitch over the second stitch and drop it off the right needle. 	Knit another stitch from the left needle and do the same ______ again.	4. Do this with each stitch until there are no stitches on the left needle and just one stitch on the right needle.	rotation	5	result	2.5	slide	3.5	routine	4	thing	5
How to Cook Rice in a Microwave	Steps.	 (...) 2. Put the rice and 1.5 to 2 times of water in a deep enough container with a lid which allows the steam to escape while cooking. (...) Sushi rice is recommended to be cooked with boiling water to begin. 3.	Start heating with medium ______ and stir rice only once when the water is hot but not boiling yet.	This evens out the temperature within the rice.	heat	4.5	warming	3.5	vigor	3	liquids	2.5	milk	2.5
How to Make Easy Rocky Road Using Digestive Biscuits	Steps	 1. These are the ingredients you will need: 100g digestive biscuits, 150g dark or milk chocolate, 75g unsalted butter, 50 to 60g marshmallows (some halved) and 2tbsp golden syrup. (...) 2. Combine the chocolate, butter and syrup in a pan over heat and stir till you get a thick glossy chocolate mix with no lumps. 	Reserve 60ml of this ______ in a jug and put the jug aside.	3. Crush the digestives in a freezer bag with a rolling pin leaving some larger pieces to add extra crunch.	food	3	total	1.5	mixture	5	component	1.5	container	2
How to Make a Homemade Light with Fireflies	Things You'll Need.	 	Do you want to make a natural ______ of light?	Well you've come to the right place	tube	3	painting	3.5	circle	3	source	4.5	image	1
How to Make the Most of Having an Older Sister (Girls)	Intro	 Your older sister may seem annoying at times, but with a little help you could truly see how useful having an older sister can be. 	If you nurture a good relationship with your older ______, having her around can be a great experience.	You have to remember: no matter what, she will always be your sister, so wouldn't it be better if you two got along?	roommate	1	female	3	girls	2.5	family	1.5	sister	5
How to Travel With One Bag	Tips	 (...) * Take photographs of your travel documents, credit cards and keep them securely on-line. (...) That way, if anything gets stolen you will have the information when reporting it. 	Consider fast-wicking (drying) ______ of expedition clothing.	These clothes are designed for frequent washing, high durability, and are rated by ""zones"" for specific climates.	members	2.5	fabric	5	layers	5	rags	4	boxes	1
How to Take Your Child for a Back‐to‐School Checkup	Setting Up the Appointment	 1. Call your child’s doctor. The first step in taking your child for a back to school checkup is scheduling an appointment. 	To schedule the back to school checkup, call your child’s doctor's ______.	You will probably speak to a secretary or assistant.	coordinator	2.5	office	4.5	advisor	3	website	1	information	3
How to Make a Soda Bottle Volcano	Tips	 (...) * Getting all the mentos to fall in the bottle at the same time is harder than one would think. If done incorrectly the volcano will only rise a few inches or so. 	Practice getting the mentos to drop simultaneously a few times before wasting your ______ of pee and poop.	* Why does this work?	inventory	2	meals	3	pile	4	bottle	3.5	gallons	2
How to Practice 'Wheel of Awareness' Meditation	Segment 3: Mental Activities	 (...) * From the hub of knowing, simply invite anything to come into it. (...) Open your mind to whatever comes or doesn't come. 	It's all happening in the ______ of present moment.	* In the second aspect, notice the thoughts and space between the thoughts.	space	4	position	1.5	vortex	2	presence	2.5	essence	2
How to Play With a Goldfish	Warnings	 *	Make sure you feed him every ______ *make sure you never touch your fish you can damage the slime coat they have to keep from injuries		touch	1	afternoon	4.5	food	2.5	meal	5	day	4.5
How to Carve a Spoon	Finishing the Spoon	 1. Sand the entire spoon to get rid of rough wood. (...) Keep working up to sandpaper with 220 grit to get the smoothest surface. (...) 	Press into the spoon's ______ with a smooth rock or pestle to harden the wood.	Once your spoon is sanded, push onto the bowl with a smooth pebble or a pestle to compact the wood.	backside	2	basin	3.5	chest	2	glass	1.5	bowl	2.5
How to Determine the Sex of a Chicken	Steps	 (...) 4. For older chickens, look at the top of their head. (...) If it isn't so big then 	put richard ______ on a plate with gay chickens and leave them in the oven for 5 hours		chickens	1	lines	2	button	1	clay	1	meat	1
How to Learn About the Mayan Civilisation	Part 2. Mayan Society	 1. Explore Mayan social structures. Central to many of the Mayan communities was the local ruler and his family, who ran a hereditary throne as well as possibly had near absolute power with the associated belief in divine rule (ie, the King was so chosen to rule by the Gods). 	These ______ would often lead the community in social, political and religious roles.	* The visiting Spaniards (after the larger collapse of the Maya) often observed the later cities as little more than a neighbourhood surrounding a temple and palace complex.	attendants	3	communities	2.5	elders	2.5	rulers	3	leaders	3
How to Make a Hookah	Tips	 (...) * To help in providing an even burn and avoid foil burn, try breaking the coal up into smaller pieces, place them on the outer edges and rotate them around the bowl while moving them steadily inwards. (...) * If you run out of shisha tobacco, or just want to try something new, mix some pipe tobacco with honey, and smoke it instead of shisha tobacco(Note: this will not taste nor smoke like regular shisha tobacco). 	If you want to make your own ______, check out the related wikiHow on how to make apple tobacco.	* Cutting up the tobacco may help a lot in packing the bowl correctly and maintaining an even burn, use a simple pair of kitchen shears.	tobacco	5	filters	1.5	shisha	4.5	whiskey	0.5	homemade	4.5
How to Make a Motorcycle out of Old Watches	Steps	 1. Make two wheels and the tyres. 	For this ______ you will need two watches.	* Remove the watch faces from the bands.	activity	5	route	4	task	3	step	5	movement	1
How to Use a Diary to Get Your Work Done	Buying an appropriate diary	 (...) 3. Keep in mind the cost of your diary. If you think that a diary is too costly, do not buy it, even if you really like it. 	While diaries can save you from work, they are not worth splurging ______ of money on.	Do not think too much about the looks, any simple diary is going to do.	lots	5	layers	1	points	3	months	3	millions	2.5
How to Win at CSR Racing	Steps	 (...) 2. Understand the structure of the game. (...) When you qualify for Tier-2 you have to buy a Tier-22 car. 	The Audi A1 is an ______ of a Tier-1 car.	You can't use a Tier-1 car in Tier-2 and so on.	example	5	edition	2.5	modification	3.5	analysis	1.5	acronym	1
How to Distress Furniture	Distressing furniture with milk paint.	 	This ______ is suitable for wood furniture.	For whitewashing, see How to whitewash furniture.	plant	1	mechanism	3.5	fabric	1.5	method	5	materials	3
How to Make a Short Doctor Who Action Figure Movie	Things You'll Need	 * Windows movie maker *	A digital camera (or mobile ______)	* Or IMovie	device	5	broadband	2.5	sensor	2	phone	4.5	television	2.5
How to Make Out for the First Time	Steps	 (...) 2. Take time. (...) Kissing someone is saying ""I love you."" 	Hold each other's ______.	It is much nicer if you are considerate toward one another and embrace.	cheek	2.5	penis	4	chests	2.5	arms	3	families	1
How to Use Art to Teach Math	Use Painting to Teach Math	 (...) 9. Consider the types of brushstrokes one may apply. (...) Can they be imaginary? 	Yes, because raw electricity's ______ can be a color and i, which is the symbol for the square root of negative one, is an imaginary number used all the time in electronics courses.	Or so it could be submitted.	diamond	1	result	1.5	spark	2.5	circle	1	diagram	2
How to Become a Journeyman Electrician (US)	Steps	 (...) 3. Determine requirements for licensing. License requirements vary by location (requirements for Massachusetts are provided here). 	There are a few locations that have no formal license, but many ______ require one or more: state, county or city license(s).	Contact the local code enforcement office for specifics and contact information.	jurisdictions	3	firms	2	regions	2.5	municipalities	5	others	4
How to Send a Direct Message on Twitter	Steps	 1. Make sure they follow you. (...) 3. Click: new message 	Enter the ______ of the person you want to DM (direct message).	Twitter will give suggestions of your followers.	subject	1.5	biography	1	username	5	location	1	images	1.5
How to Win an Accident Settlement	Dealing With Your Insurance Company	 1. Document any costs or expenses from the accident. (...) These might include medical records or work excuses from your doctor or supervisor. *	These ______ should be part of the total settlement you receive, so include every related expense.	2. Call and inform your insurance company.	responsibilities	3	changes	1	amount	4	information	3.5	expenses	4
How to Switch from Windows to Mac OS X	Steps	 (...) 6. Learn to kill crashed programs. (...) S to attempt to save your work. 	Then click and hold the crashed program's ______ on the dock.	Hold option and click Force Quit.	key	3	screen	5	window	2	icon	5	names	3
How to Browse Safely Using a Virtual Machine	External Links.	 Browsing the internet is getting more dangerous every day. One way to be safe is to create a ""virtual machine"" on your PC and use it to surf the web. 	If the virtual machine gets infected, simply dump it and build yourself another ______.	You should be fairly computer literate to attempt this.	device	3	connection	3	one	4.5	page	2.5	servers	3.5
How to Make Raspberry‐Lemon Cheesecake Bites	Intro	 Raspberry-lemon cheesecake bites make a fine and refreshing hot weather snack when frozen and make excellent finger foods for a party. 	The lemon's tangy flavor goes well with the fruity ______ of the raspberries.	Learn how to make this dish with this article!	odor	1.5	taste	5	structure	2	flavor	4.5	citrus	3.5
How to Make a Cucumber, Milk and Honey Facial Mask	Steps	 1. Cut 1 1/4 of a cucumber up into small chunks. (...) 1. Put the cucumber chunks in the blender and put it on the lowest speed limit and blend for a few seconds. 	Do not blend the ______ of cucumber into liquid.		pieces	3.5	container	4	shards	1.5	portions	2.5	blocks	3.5
How to Flip a House	Selling the Property	 1. Stage the house. (...) Try to make the first impression give a lasting impression. (...) *	Smell: put air fresheners in the bathrooms, leave flowers out in the foyer, put out a fresh ______ of coffee, etc.	* Touch: appeal to your guests to sit in the softest couch; make sure that no dust is left around.	container	3.5	pot	4	bowl	1	cabinet	1.5	blend	3.5
How to Make a High Ponytail	Styling a High Ponytail	 (...) 5. Secure the ponytail in place with an elastic band. (...) Twist the band into a figure 8 and pull the new loop back through your hair. 	Repeat this ______ until the hair tie is tight enough that it stays put.	* To look extra nice, take a small section of hair from the bottom of your ponytail and carefully wrap it around the elastic.	movement	4.5	exercise	4.5	rhythm	2	portion	3.5	pattern	5
How to Make a Peanut Butter and Jelly Sandwich	Steps	 	Spread 2 ______ of peanut butter evenly onto one slice of bread using your knife.	Spread it thinly if you are trying to reduce your calorie intake.	grains	1	blocks	3	points	1	tablespoons	5	layers	3.5
How to Live a Long Life	Steps	 (...) 5. Look both ways before you cross the street. Children are taught this when growing up and many adults take it for granted, be sure that approaching vehicles are coming to a complete stop before entering the intersection as a pedestrian. 	Reduce ______ of stress and depression in your life.	This can have a very negative impact on your heart, and other physiology.	feelings	3	months	2.5	causes	4.5	centers	4	patterns	4
How to Maintain Healthy Teeth As You Age	Practicing Good Dental Hygiene	 1. Brush your teeth twice a day. As you age it is important to keep up with good dental hygiene. 	The core part of good dental ______ is brushing your teeth twice a day.	This removes food particles and bacteria that causes tooth decay.	healing	4	service	2.5	hygiene	5	communication	1	training	1.5
How to Avoid Making Fun of People Who Are Different	Avoiding Making Fun of Different Adults	 (...) * Cyber bullying or attacking you via email, texting, and the like, can be one of the most intrusive methods of bullying. Your bully need only access a computer to attack. 	Identity theft is also considered a ______ of cyber bullying.	3. The best way to help to prevent falling victim to an adult bully is to stand up for your rights!	mechanism	2.5	threat	4.5	form	5	route	2	synonym	3.5
